TIME,ACCX,ACCY,ACCZ,PITCH,ROLL,YAW
17.549999,0.000005,0.000002,0.007396,0.000024,0.000012,0.000023,
17.600000,0.000005,0.000002,0.007393,0.000023,0.000015,0.000011,
17.650000,0.000005,0.000002,0.007395,0.000018,0.000016,0.000020,
17.700001,0.000005,0.000002,0.007394,0.000013,0.000014,0.000024,
17.750000,0.000005,0.000001,0.007395,0.000014,0.000025,0.000023,
17.799999,0.000003,0.000001,0.007398,0.000015,0.000021,0.000021,
17.850000,0.000003,0.000001,0.007393,0.000017,0.000020,0.000017,
17.900000,0.000002,0.000002,0.007376,0.000020,0.000020,0.000020,
17.950001,0.000002,0.000001,0.007379,0.000018,0.000022,0.000019,
18.000000,0.000004,0.000001,0.007381,0.000011,0.000022,0.000019,
18.049999,0.000005,0.000001,0.007378,0.000013,0.000030,0.000019,
18.100000,0.000004,0.000001,0.007380,0.000005,0.000032,0.000024,
18.150000,0.000004,0.000001,0.007374,0.000006,0.000032,0.000022,
18.200001,0.000004,0.000001,0.007370,0.000012,0.000037,0.000021,
18.250000,0.000004,0.000002,0.007369,0.000012,0.000028,0.000023,
18.299999,0.000004,0.000002,0.007372,0.000018,0.000024,0.000023,
18.350000,0.000004,0.000002,0.007375,0.000018,0.000024,0.000021,
18.400000,0.000004,0.000003,0.007374,0.000022,0.000024,0.000027,
18.450001,0.000005,0.000004,0.007377,0.000025,0.000018,0.000026,
18.500000,0.000005,0.000004,0.007375,0.000025,0.000015,0.000027,
18.549999,0.000005,0.000005,0.007376,0.000024,0.000010,0.000026,
18.600000,0.000005,0.000005,0.007371,0.000022,0.000026,0.000012,
18.650000,0.000006,0.000005,0.007371,0.000036,0.000027,0.000016,
18.700001,0.000007,0.000009,0.007373,0.000060,0.000110,0.000021,
18.750000,0.000007,0.000029,0.007396,0.000296,0.000268,0.000028,
18.799999,0.000012,0.000199,0.007450,0.000327,0.000344,0.000028,
18.850000,0.000041,0.000232,0.007471,0.000317,0.000337,0.000388,
18.900000,0.000074,0.000627,0.008134,0.000596,0.000730,0.001191,
18.950001,0.000093,0.000645,0.009801,0.000672,0.002786,0.001423,
